id,category,item,price
0,beverage,Hot chocolate,14
1,beverage,Coke,13
2,beverage,Smoothies,30
3,beverage,Coffee,10
4,beverage,Juice,18
5,beverage,Mineral water,15
6,beverage,Tea,11
7,bread,Bread,40
8,bread,Toast,20
9,bread,Focaccia,10
10,bread,Baguette,30
11,bread,Scandinavian,20
12,breakfast,Granola,70
13,breakfast,Brioche and salami,170
14,breakfast,Frittata,110
15,breakfast,Muesli,70
16,breakfast,Duck egg,110
17,breakfast,Eggs,90
18,breakfast_pastry,Scone,35
19,breakfast_pastry,Medialuna,20
20,breakfast_pastry,Pastry,40
21,breakfast_pastry,Muffin,30
22,condiments,Spread,40
23,condiments,Honey,40
24,condiments,Dulce de Leche,30
25,condiments,Jam,60
26,condiments,Chimichurri Oil,60
27,condiments,Gingerbread syrup,60
28,condiments,Extra Salami or Feta,70
29,dessert,Bakewell,70
30,dessert,Chocolates,30
31,dessert,Crepes,40
32,dessert,Panatone,40
33,dessert,Raspberry shortbread sandwich,60
34,dessert,Lemon and coconut,40
35,dessert,Tartine,40
36,dessert,Brownie,30
37,dessert,Cake,100
38,dessert,Bread Pudding,40
39,dessert,Alfajores,40
40,dessert,Fudge,40
41,dessert,Cookies,30
42,dessert,Truffles,30
43,dessert,Victorian Sponge,30
44,kids,Kids biscuit,130
45,kids,My-5 Fruit Shoot,70
46,kids,Ella's Kitchen Pouches,200
47,lunch,Sandwich,40
48,lunch,Chicken sand,40
49,lunch,Chicken Stew,60
50,lunch,Salad,70
51,lunch,Soup,60
52,other,Valentine's card,50
53,other,Gift voucher,100
54,other,Tshirt,70
55,other,Postcard,30
56,other,Drinking chocolate spoons ,70
57,other,Nomad bag,800
58,other,Christmas common,95
59,other,Coffee granules ,120
60,other,Adjustment,130
61,other,Siblings,220
62,other,NONE,0
63,other,Afternoon with the baker,200
64,snacks,Crisps,20
65,snacks,Bare Popcorn,40
66,snacks,Caramel bites,40
67,snacks,Cherry me Dried fruit,35
68,snacks,Mighty Protein,300
69,snacks,Pick and Mix Bowls,50
70,snacks,Raw bars,30
